name,id,recclass,mass,fall,year,reclat,reclong,point coordinates
Bath Furnace,4975,L6,86000.0,Fell,1902-01-01,38.25,-83.75,"[38.25, -83.75]"
Battle Mountain,56133,L6,2900.0,Fell,2012-01-01,40.66813,-117.18913,"[40.66813, -117.18913]"
Bawku,4976,LL5,1557.0,Fell,1989-01-01,11.08333,-0.18333,"[11.08333, -0.18333]"
Baxter,4977,L6,611.0,Fell,1916-01-01,36.75,-93.5,"[36.75, -93.5]"
Beardsley,4984,H5,16000.0,Fell,1929-01-01,39.8,-101.2,"[39.8, -101.2]"
Beaver Creek,4986,H5,14000.0,Fell,1893-01-01,51.16667,-117.33333,"[51.16667, -117.33333]"
Beddgelert,4993,H5,794.0,Fell,1949-01-01,53.01667,-4.1,"[53.01667, -4.1]"
Bells,5005,C2-ung,375.0,Fell,1961-01-01,33.6,-96.46667,"[33.6, -96.46667]"
Benares (a),5011,LL4,3700.0,Fell,1798-01-01,25.36667,82.91667,"[25.36667, 82.91667]"
Benguerir,30443,LL6,25000.0,Fell,2004-01-01,32.25,-8.15,"[32.25, -8.15]"
Beni M'hira,5018,L6,19000.0,Fell,2001-01-01,32.86667,10.8,"[32.86667, 10.8]"
Benld,5021,H6,1770.5,Fell,1938-01-01,39.08333,-89.15,"[39.08333, -89.15]"
Benoni,5023,H6,3880.0,Fell,1943-01-01,-26.16667,28.41667,"[-26.16667, 28.41667]"
Bensour,5024,LL6,45000.0,Fell,2002-01-01,30.0,-7.0,"[30.0, -7.0]"
Benton,5026,LL6,2840.0,Fell,1949-01-01,45.95,-67.55,"[45.95, -67.55]"
Berduc,48975,L6,270.0,Fell,2008-01-01,-31.91,-58.32833,"[-31.91, -58.32833]"
Béréba,5028,Eucrite-mmict,18000.0,Fell,1924-01-01,11.65,-3.65,"[11.65, -3.65]"
Berlanguillas,5029,L6,1440.0,Fell,1811-01-01,41.68333,-3.8,"[41.68333, -3.8]"
Berthoud,47355,Eucrite-mmict,960.0,Fell,2004-01-01,40.30583,-105.02325,"[40.30583, -105.02325]"
Bethlehem,5032,H,13.9,Fell,1859-01-01,42.53333,-73.83333,"[42.53333, -73.83333]"
Beuste,5034,L5,2000.0,Fell,1859-01-01,43.21667,-0.23333,"[43.21667, -0.23333]"
Beyrout,5035,LL3.8,1100.0,Fell,1921-01-01,33.88333,35.5,"[33.88333, 35.5]"
Bhagur,5037,L6,18.0,Fell,1877-01-01,20.88333,74.83333,"[20.88333, 74.83333]"
Bhawad,36591,LL6,678.0,Fell,2002-01-01,26.50833,73.11528,"[26.50833, 73.11528]"
Bherai,5039,L6,100.0,Fell,1893-01-01,20.83333,71.46667,"[20.83333, 71.46667]"
Bhola,5040,LL3-6,1047.0,Fell,1940-01-01,22.68333,90.65,"[22.68333, 90.65]"
